imu,t,o,r,p,y,temp,press,alt
IMU1,17.04,1,-101.51,-4.0,-0.0,25.4,103315.0,164.38
IMU2,17.04,1,-27.8,-4.42,-26.6,25.1,103475.0,177.48
IMU3,17.04,1,-107.63,-0.7,-74.72,25.9,103561.0,184.52
IMU1,17.05,1,-101.51,-4.0,-0.0,25.4,103315.0,164.38
IMU2,17.05,1,-27.92,-4.47,-26.4,25.1,103475.0,177.48
IMU3,17.05,1,-107.64,-0.78,-74.65,25.9,103561.0,184.52
IMU1,17.06,1,-101.52,-4.0,-0.0,25.4,103315.0,164.38
IMU2,17.06,1,-28.31,-4.47,-26.06,25.1,103475.0,177.48
IMU3,17.06,1,-107.62,-0.55,-74.88,25.9,103561.0,184.52
IMU1,17.07,1,-101.52,-3.99,-0.0,25.4,103315.0,164.38
IMU2,17.07,1,-28.41,-4.51,-25.87,25.1,103475.0,177.48
IMU3,17.07,1,-107.6,-0.34,-75.1,25.9,103561.0,184.52
IMU1,17.08,1,-101.52,-3.99,-0.0,25.4,103315.0,164.38
IMU2,17.08,1,-28.5,-4.55,-25.68,25.1,103475.0,177.48
IMU3,17.08,1,-107.58,-0.32,-75.15,25.9,103561.0,184.52
IMU1,17.09,1,-101.53,-3.99,-0.0,25.4,103315.0,164.38
IMU2,17.09,1,-28.92,-4.53,-25.28,25.1,103475.0,177.48
IMU3,17.09,1,-107.57,-0.3,-75.21,25.9,103561.0,184.52
IMU1,17.1,1,-101.53,-3.99,-0.0,25.4,103315.0,164.38
IMU2,17.1,1,-29.0,-4.57,-25.08,25.1,103475.0,177.48
IMU3,17.1,1,-107.55,-0.28,-75.26,25.9,103561.0,184.52
IMU1,17.11,1,-101.53,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.11,1,-29.08,-4.61,-24.88,25.1,103478.0,177.72
IMU3,17.11,1,-107.53,-0.1,-75.53,25.9,103560.0,184.44
IMU1,17.12,1,-101.53,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.12,1,-29.14,-4.64,-24.71,25.1,103478.0,177.72
